participant,technique,measure,score
6,SemiDwell,satisfaction,4
6,SemiSwipe,sus,4
6,SemiSwipe,mental,4
6,SemiSwipe,physical,3
6,SemiSwipe,temporal,5
6,SemiSwipe,performance,4
6,SemiSwipe,effort,4
6,SemiSwipe,frustration,6
6,SemiSwipe,satisfaction,5
6,SemiTilt,sus,3
6,SemiTilt,mental,5
6,SemiTilt,physical,3
6,SemiTilt,temporal,0
6,SemiTilt,performance,1
6,SemiTilt,effort,1
6,SemiTilt,frustration,5
6,SemiTilt,satisfaction,4
7,FullDH,sus,1
7,FullDH,mental,4
7,FullDH,physical,5
7,FullDH,temporal,0
7,FullDH,performance,0
7,FullDH,effort,5
7,FullDH,frustration,6
7,FullDH,satisfaction,4
7,SemiNDH,sus,3
7,SemiNDH,mental,1
7,SemiNDH,physical,5
7,SemiNDH,temporal,3
7,SemiNDH,performance,2
7,SemiNDH,effort,1
7,SemiNDH,frustration,0
7,SemiNDH,satisfaction,5
7,SemiDwell,sus,4
7,SemiDwell,mental,6
7,SemiDwell,physical,1
7,SemiDwell,temporal,2
7,SemiDwell,performance,6
7,SemiDwell,effort,1
7,SemiDwell,frustration,6
7,SemiDwell,satisfaction,1
7,SemiSwipe,sus,0
7,SemiSwipe,mental,1
7,SemiSwipe,physical,2
7,SemiSwipe,temporal,0
7,SemiSwipe,performance,4
7,SemiSwipe,effort,1
7,SemiSwipe,frustration,3
7,SemiSwipe,satisfaction,6
7,SemiTilt,sus,6
7,SemiTilt,mental,6
7,SemiTilt,physical,6
7,SemiTilt,temporal,0
7,SemiTilt,performance,4
7,SemiTilt,effort,5
7,SemiTilt,frustration,0
7,SemiTilt,satisfaction,1
8,FullDH,sus,1
8,FullDH,mental,2
8,FullDH,physical,2
8,FullDH,temporal,2
8,FullDH,performance,5
8,FullDH,effort,4
8,FullDH,frustration,3
8,FullDH,satisfaction,1
8,SemiNDH,sus,0
8,SemiNDH,mental,3
8,SemiNDH,physical,4
8,SemiNDH,temporal,1
8,SemiNDH,performance,6
8,SemiNDH,effort,4
8,SemiNDH,frustration,4
8,SemiNDH,satisfaction,0
8,SemiDwell,sus,5
8,SemiDwell,mental,5
8,SemiDwell,physical,2
8,SemiDwell,temporal,5
8,SemiDwell,performance,0
8,SemiDwell,effort,1
8,SemiDwell,frustration,2
8,SemiDwell,satisfaction,6
8,SemiSwipe,sus,0
8,SemiSwipe,mental,5
8,SemiSwipe,physical,0
8,SemiSwipe,temporal,5
8,SemiSwipe,performance,5
8,SemiSwipe,effort,1
8,SemiSwipe,frustration,0
8,SemiSwipe,satisfaction,0
8,SemiTilt,sus,5
8,SemiTilt,mental,1
8,SemiTilt,physical,4
8,SemiTilt,temporal,2
8,SemiTilt,performance,4
8,SemiTilt,effort,5
8,SemiTilt,frustration,4
8,SemiTilt,satisfaction,5
9,FullDH,sus,3
9,FullDH,mental,3
9,FullDH,physical,0
9,FullDH,temporal,6
9,FullDH,performance,1
9,FullDH,effort,3
9,FullDH,frustration,5
9,FullDH,satisfaction,5
9,SemiNDH,sus,4
9,SemiNDH,mental,0
9,SemiNDH,physical,2
9,SemiNDH,temporal,2
9,SemiNDH,performance,4
9,SemiNDH,effort,5
9,SemiNDH,frustration,0
9,SemiNDH,satisfaction,5
9,SemiDwell,sus,0
9,SemiDwell,mental,2
9,SemiDwell,physical,4
9,SemiDwell,temporal,4
9,SemiDwell,performance,1
9,SemiDwell,effort,3
9,SemiDwell,frustration,1
9,SemiDwell,satisfaction,1
9,SemiSwipe,sus,4
9,SemiSwipe,mental,5
9,SemiSwipe,physical,0
9,SemiSwipe,temporal,6
9,SemiSwipe,performance,2
9,SemiSwipe,effort,0
9,SemiSwipe,frustration,0
9,SemiSwipe,satisfaction,1
9,SemiTilt,sus,6
9,SemiTilt,mental,5
9,SemiTilt,physical,4
9,SemiTilt,temporal,6
9,SemiTilt,performance,4
9,SemiTilt,effort,2
9,SemiTilt,frustration,1
9,SemiTilt,satisfaction,2
10,FullDH,sus,2
10,FullDH,mental,1
10,FullDH,physical,4
10,FullDH,temporal,3
10,FullDH,performance,0
10,FullDH,effort,4
10,FullDH,frustration,1
10,FullDH,satisfaction,6
10,SemiNDH,sus,6
10,SemiNDH,mental,4
10,SemiNDH,physical,4
10,SemiNDH,temporal,2
10,SemiNDH,performance,1
10,SemiNDH,effort,2
10,SemiNDH,frustration,2
10,SemiNDH,satisfaction,2
10,SemiDwell,sus,6
10,SemiDwell,mental,4
10,SemiDwell,physical,1
10,SemiDwell,temporal,2
10,SemiDwell,performance,6
10,SemiDwell,effort,5
10,SemiDwell,frustration,4
10,SemiDwell,satisfaction,3
10,SemiSwipe,sus,6
10,SemiSwipe,mental,4
10,SemiSwipe,physical,4
10,SemiSwipe,temporal,1
10,SemiSwipe,performance,1
10,SemiSwipe,effort,3
10,SemiSwipe,frustration,3
10,SemiSwipe,satisfaction,4
10,SemiTilt,sus,1
10,SemiTilt,mental,5
10,SemiTilt,physical,3
10,SemiTilt,temporal,6
10,SemiTilt,performance,5
10,SemiTilt,effort,4
10,SemiTilt,frustration,1
10,SemiTilt,satisfaction,5
11,FullDH,sus,6
11,FullDH,mental,0
11,FullDH,physical,4
11,FullDH,temporal,0
11,FullDH,performance,1
11,FullDH,effort,0
11,FullDH,frustration,2
11,FullDH,satisfaction,6
11,SemiNDH,sus,1
11,SemiNDH,mental,0
11,SemiNDH,physical,3
11,SemiNDH,temporal,4
11,SemiNDH,performance,4
11,SemiNDH,effort,5
11,SemiNDH,frustration,1
11,SemiNDH,satisfaction,0
11,SemiDwell,sus,6
11,SemiDwell,mental,3
11,SemiDwell,physical,2
11,SemiDwell,temporal,5
11,SemiDwell,performance,0
11,SemiDwell,effort,3
11,SemiDwell,frustration,4
11,SemiDwell,satisfaction,0
11,SemiSwipe,sus,3
11,SemiSwipe,mental,3
11,SemiSwipe,physical,0
11,SemiSwipe,temporal,6
11,SemiSwipe,performance,6
11,SemiSwipe,effort,2
11,SemiSwipe,frustration,1
11,SemiSwipe,satisfaction,3
11,SemiTilt,sus,0
11,SemiTilt,mental,0
11,SemiTilt,physical,6
11,SemiTilt,temporal,6
11,SemiTilt,performance,0
11,SemiTilt,effort,6
11,SemiTilt,frustration,6
11,SemiTilt,satisfaction,0
12,FullDH,sus,6
12,FullDH,mental,4
12,FullDH,physical,4
12,FullDH,temporal,2
12,FullDH,performance,2
12,FullDH,effort,0
12,FullDH,frustration,4
12,FullDH,satisfaction,4
12,SemiNDH,sus,0
12,SemiNDH,mental,0
12,SemiNDH,physical,2
12,SemiNDH,temporal,0
12,SemiNDH,performance,3
12,SemiNDH,effort,4
12,SemiNDH,frustration,6
12,SemiNDH,satisfaction,0
12,SemiDwell,sus,1
12,SemiDwell,mental,4
12,SemiDwell,physical,5
12,SemiDwell,temporal,4
12,SemiDwell,performance,1
12,SemiDwell,effort,5
12,SemiDwell,frustration,5
12,SemiDwell,satisfaction,0
12,SemiSwipe,sus,1
12,SemiSwipe,mental,1
12,SemiSwipe,physical,2
12,SemiSwipe,temporal,1
12,SemiSwipe,performance,4
12,SemiSwipe,effort,6
12,SemiSwipe,frustration,6
12,SemiSwipe,satisfaction,4
12,SemiTilt,sus,1
12,SemiTilt,mental,6
12,SemiTilt,physical,3
12,SemiTilt,temporal,3
12,SemiTilt,performance,0
12,SemiTilt,effort,5
12,SemiTilt,frustration,2
12,SemiTilt,satisfaction,5
13,FullDH,sus,3
13,FullDH,mental,5
13,FullDH,physical,5
13,FullDH,temporal,3
13,FullDH,performance,0
13,FullDH,effort,3
13,FullDH,frustration,4
13,FullDH,satisfaction,3
13,SemiNDH,sus,0
13,SemiNDH,mental,3
13,SemiNDH,physical,5
13,SemiNDH,temporal,0
13,SemiNDH,performance,3
13,SemiNDH,effort,6
13,SemiNDH,frustration,4
13,SemiNDH,satisfaction,3
13,SemiDwell,sus,3
13,SemiDwell,mental,1
13,SemiDwell,physical,4
13,SemiDwell,temporal,1
13,SemiDwell,performance,4
13,SemiDwell,effort,1
13,SemiDwell,frustration,3
13,SemiDwell,satisfaction,1
13,SemiSwipe,sus,0
13,SemiSwipe,mental,0
13,SemiSwipe,physical,2
13,SemiSwipe,temporal,4
13,SemiSwipe,performance,1
13,SemiSwipe,effort,5
13,SemiSwipe,frustration,3
13,SemiSwipe,satisfaction,0
13,SemiTilt,sus,6
13,SemiTilt,mental,2
13,SemiTilt,physical,1
13,SemiTilt,temporal,1
13,SemiTilt,performance,1
13,SemiTilt,effort,6
13,SemiTilt,frustration,6
13,SemiTilt,satisfaction,3
14,FullDH,sus,0
14,FullDH,mental,3
14,FullDH,physical,4
14,FullDH,temporal,6
14,FullDH,performance,5
14,FullDH,effort,6
14,FullDH,frustration,1
14,FullDH,satisfaction,1
14,SemiNDH,sus,4
14,SemiNDH,mental,0
14,SemiNDH,physical,2
14,SemiNDH,temporal,4
14,SemiNDH,performance,1
14,SemiNDH,effort,3
14,SemiNDH,frustration,2
14,SemiNDH,satisfaction,6
14,SemiDwell,sus,1
14,SemiDwell,mental,0
14,SemiDwell,physical,5
14,SemiDwell,temporal,2
14,SemiDwell,performance,4
14,SemiDwell,effort,4
14,SemiDwell,frustration,5
14,SemiDwell,satisfaction,4
14,SemiSwipe,sus,2
14,SemiSwipe,mental,3
14,SemiSwipe,physical,0
14,SemiSwipe,temporal,0
14,SemiSwipe,performance,3
14,SemiSwipe,effort,0
14,SemiSwipe,frustration,4
14,SemiSwipe,satisfaction,4
14,SemiTilt,sus,2
14,SemiTilt,mental,3
14,SemiTilt,physical,3
14,SemiTilt,temporal,0
14,SemiTilt,performance,4
14,SemiTilt,effort,4
14,SemiTilt,frustration,5
14,SemiTilt,satisfaction,2
15,FullDH,sus,5
15,FullDH,mental,1
15,FullDH,physical,0
15,FullDH,temporal,5
15,FullDH,performance,6
15,FullDH,effort,0
15,FullDH,frustration,5
15,FullDH,satisfaction,3
15,SemiNDH,sus,5
15,SemiNDH,mental,5
15,SemiNDH,physical,5
15,SemiNDH,temporal,5
15,SemiNDH,performance,4
15,SemiNDH,effort,0
15,SemiNDH,frustration,0
15,SemiNDH,satisfaction,6
15,SemiDwell,sus,2
15,SemiDwell,mental,0
15,SemiDwell,physical,3
15,SemiDwell,temporal,2
15,SemiDwell,performance,5
15,SemiDwell,effort,4
15,SemiDwell,frustration,4
15,SemiDwell,satisfaction,3
15,SemiSwipe,sus,6
15,SemiSwipe,mental,1
15,SemiSwipe,physical,4
15,SemiSwipe,temporal,4
15,SemiSwipe,performance,3
15,SemiSwipe,effort,1
15,SemiSwipe,frustration,5
15,SemiSwipe,satisfaction,3
15,SemiTilt,sus,2
15,SemiTilt,mental,5
15,SemiTilt,physical,3
15,SemiTilt,temporal,0
15,SemiTilt,performance,1
15,SemiTilt,effort,3
15,SemiTilt,frustration,0
15,SemiTilt,satisfaction,6
16,FullDH,sus,2
16,FullDH,mental,0
16,FullDH,physical,1
16,FullDH,temporal,0
16,FullDH,performance,2
16,FullDH,effort,4
16,FullDH,frustration,6
16,FullDH,satisfaction,1
16,SemiNDH,sus,2
16,SemiNDH,mental,6
16,SemiNDH,physical,2
16,SemiNDH,temporal,3
16,SemiNDH,performance,4
16,SemiNDH,effort,1
16,SemiNDH,frustration,6
16,SemiNDH,satisfaction,5
16,SemiDwell,sus,6
16,SemiDwell,mental,3
16,SemiDwell,physical,5
16,SemiDwell,temporal,2
16,SemiDwell,performance,2
16,SemiDwell,effort,1
16,SemiDwell,frustration,6
16,SemiDwell,satisfaction,0
16,SemiSwipe,sus,1
16,SemiSwipe,mental,2
16,SemiSwipe,physical,3
16,SemiSwipe,temporal,3
16,SemiSwipe,performance,6
16,SemiSwipe,effort,1
16,SemiSwipe,frustration,3
16,SemiSwipe,satisfaction,2
16,SemiTilt,sus,3
16,SemiTilt,mental,4
16,SemiTilt,physical,2
16,SemiTilt,temporal,3
16,SemiTilt,performance,3
16,SemiTilt,effort,2
16,SemiTilt,frustration,4
16,SemiTilt,satisfaction,2
17,FullDH,sus,5
17,FullDH,mental,2
17,FullDH,physical,5
17,FullDH,temporal,1
17,FullDH,performance,4
17,FullDH,effort,5
17,FullDH,frustration,0
17,FullDH,satisfaction,4
17,SemiNDH,sus,3
17,SemiNDH,mental,4
17,SemiNDH,physical,3
17,SemiNDH,temporal,0
17,SemiNDH,performance,6
17,SemiNDH,effort,4
17,SemiNDH,frustration,1
17,SemiNDH,satisfaction,3
17,SemiDwell,sus,4
17,SemiDwell,mental,0
17,SemiDwell,physical,0
17,SemiDwell,temporal,4
17,SemiDwell,performance,6
17,SemiDwell,effort,5
17,SemiDwell,frustration,0
17,SemiDwell,satisfaction,6
17,SemiSwipe,sus,4
17,SemiSwipe,mental,1
17,SemiSwipe,physical,1
17,SemiSwipe,temporal,4
17,SemiSwipe,performance,2
17,SemiSwipe,effort,3
17,SemiSwipe,frustration,2
17,SemiSwipe,satisfaction,0
17,SemiTilt,sus,4
17,SemiTilt,mental,6
17,SemiTilt,physical,2
17,SemiTilt,temporal,0
17,SemiTilt,performance,2
17,SemiTilt,effort,6
17,SemiTilt,frustration,5
17,SemiTilt,satisfaction,4
18,FullDH,sus,6
18,FullDH,mental,0
18,FullDH,physical,0
18,FullDH,temporal,0
18,FullDH,performance,3
18,FullDH,effort,6
18,FullDH,frustration,2
18,FullDH,satisfaction,6
18,SemiNDH,sus,6
18,SemiNDH,mental,0
18,SemiNDH,physical,1
18,SemiNDH,temporal,5
18,SemiNDH,performance,5
18,SemiNDH,effort,1
18,SemiNDH,frustration,5
18,SemiNDH,satisfaction,1
18,SemiDwell,sus,6
18,SemiDwell,mental,5
18,SemiDwell,physical,0
18,SemiDwell,temporal,2
18,SemiDwell,performance,0
18,SemiDwell,effort,0
18,SemiDwell,frustration,5
18,SemiDwell,satisfaction,4
18,SemiSwipe,sus,6
18,SemiSwipe,mental,1
18,SemiSwipe,physical,4
18,SemiSwipe,temporal,4
18,SemiSwipe,performance,5
18,SemiSwipe,effort,3
18,SemiSwipe,frustration,1
18,SemiSwipe,satisfaction,4
18,SemiTilt,sus,4
18,SemiTilt,mental,4
18,SemiTilt,physical,6
18,SemiTilt,temporal,1
18,SemiTilt,performance,1
18,SemiTilt,effort,6
18,SemiTilt,frustration,3
18,SemiTilt,satisfaction,2
19,FullDH,sus,0
19,FullDH,mental,1
19,FullDH,physical,1
19,FullDH,temporal,5
19,FullDH,performance,3
19,FullDH,effort,2
19,FullDH,frustration,2
19,FullDH,satisfaction,0
19,SemiNDH,sus,5
19,SemiNDH,mental,1
19,SemiNDH,physical,0
19,SemiNDH,temporal,6
19,SemiNDH,performance,6
19,SemiNDH,effort,2
19,SemiNDH,frustration,4
19,SemiNDH,satisfaction,6
19,SemiDwell,sus,4
19,SemiDwell,mental,0
19,SemiDwell,physical,4
19,SemiDwell,temporal,3
19,SemiDwell,performance,1
19,SemiDwell,effort,1
19,SemiDwell,frustration,5
19,SemiDwell,satisfaction,3
19,SemiSwipe,sus,5
19,SemiSwipe,mental,6
19,SemiSwipe,physical,5
19,SemiSwipe,temporal,1
19,SemiSwipe,performance,5
19,SemiSwipe,effort,6
19,SemiSwipe,frustration,4
19,SemiSwipe,satisfaction,6
19,SemiTilt,sus,1
19,SemiTilt,mental,1
19,SemiTilt,physical,1
19,SemiTilt,temporal,5
19,SemiTilt,performance,1
19,SemiTilt,effort,3
19,SemiTilt,frustration,1
19,SemiTilt,satisfaction,6
20,FullDH,sus,1
20,FullDH,mental,3
20,FullDH,physical,3
20,FullDH,temporal,5
20,FullDH,performance,2
20,FullDH,effort,6
20,FullDH,frustration,5
20,FullDH,satisfaction,4
20,SemiNDH,sus,5
20,SemiNDH,mental,4
20,SemiNDH,physical,6
20,SemiNDH,temporal,3
20,SemiNDH,performance,2
20,SemiNDH,effort,5
20,SemiNDH,frustration,0
20,SemiNDH,satisfaction,1
20,SemiDwell,sus,2
20,SemiDwell,mental,2
20,SemiDwell,physical,2
20,SemiDwell,temporal,3
20,SemiDwell,performance,2
20,SemiDwell,effort,3
20,SemiDwell,frustration,5
20,SemiDwell,satisfaction,2
20,SemiSwipe,sus,3
20,SemiSwipe,mental,1
20,SemiSwipe,physical,2
20,SemiSwipe,temporal,2
20,SemiSwipe,performance,3
20,SemiSwipe,effort,6
20,SemiSwipe,frustration,5
20,SemiSwipe,satisfaction,5
20,SemiTilt,sus,2
20,SemiTilt,mental,4
20,SemiTilt,physical,3
20,SemiTilt,temporal,1
20,SemiTilt,performance,5
20,SemiTilt,effort,3
20,SemiTilt,frustration,0
20,SemiTilt,satisfaction,5
21,FullDH,sus,0
21,FullDH,mental,4
21,FullDH,physical,4
21,FullDH,temporal,1
21,FullDH,performance,3
21,FullDH,effort,3
21,FullDH,frustration,2
21,FullDH,satisfaction,5
21,SemiNDH,sus,4
21,SemiNDH,mental,3
21,SemiNDH,physical,1
21,SemiNDH,temporal,6
21,SemiNDH,performance,1
21,SemiNDH,effort,0
21,SemiNDH,frustration,5
21,SemiNDH,satisfaction,3
21,SemiDwell,sus,2
21,SemiDwell,mental,2
21,SemiDwell,physical,0
21,SemiDwell,temporal,0
21,SemiDwell,performance,3
21,SemiDwell,effort,2
21,SemiDwell,frustration,4
21,SemiDwell,satisfaction,5
21,SemiSwipe,sus,4
21,SemiSwipe,mental,4
21,SemiSwipe,physical,4
21,SemiSwipe,temporal,6
21,SemiSwipe,performance,3
21,SemiSwipe,effort,6
21,SemiSwipe,frustration,2
21,SemiSwipe,satisfaction,5
21,SemiTilt,sus,4
21,SemiTilt,mental,6
21,SemiTilt,physical,5
21,SemiTilt,temporal,0
21,SemiTilt,performance,3
21,SemiTilt,effort,1
21,SemiTilt,frustration,3
21,SemiTilt,satisfaction,1
22,FullDH,sus,4
22,FullDH,mental,3
22,FullDH,physical,3
22,FullDH,temporal,1
22,FullDH,performance,3
22,FullDH,effort,6
22,FullDH,frustration,4
22,FullDH,satisfaction,0
22,SemiNDH,sus,3
22,SemiNDH,mental,0
22,SemiNDH,physical,4
22,SemiNDH,temporal,3
22,SemiNDH,performance,2
22,SemiNDH,effort,3
22,SemiNDH,frustration,0
22,SemiNDH,satisfaction,2
22,SemiDwell,sus,3
22,SemiDwell,mental,3
22,SemiDwell,physical,6
22,SemiDwell,temporal,2
22,SemiDwell,performance,2
22,SemiDwell,effort,6
22,SemiDwell,frustration,5
22,SemiDwell,satisfaction,2
22,SemiSwipe,sus,6
22,SemiSwipe,mental,6
22,SemiSwipe,physical,2
22,SemiSwipe,temporal,2
22,SemiSwipe,performance,6
22,SemiSwipe,effort,1
22,SemiSwipe,frustration,4
22,SemiSwipe,satisfaction,2
22,SemiTilt,sus,5
22,SemiTilt,mental,5
22,SemiTilt,physical,1
22,SemiTilt,temporal,2
22,SemiTilt,performance,4
22,SemiTilt,effort,0
22,SemiTilt,frustration,4
22,SemiTilt,satisfaction,2
23,FullDH,sus,4
23,FullDH,mental,0
23,FullDH,physical,5
23,FullDH,temporal,1
23,FullDH,performance,1
23,FullDH,effort,2
23,FullDH,frustration,4
23,FullDH,satisfaction,1
23,SemiNDH,sus,4
23,SemiNDH,mental,3
23,SemiNDH,physical,4
23,SemiNDH,temporal,0
23,SemiNDH,performance,3
23,SemiNDH,effort,1
23,SemiNDH,frustration,0
23,SemiNDH,satisfaction,3
23,SemiDwell,sus,0
23,SemiDwell,mental,3
23,SemiDwell,physical,6
23,SemiDwell,temporal,3
23,SemiDwell,performance,5
23,SemiDwell,effort,5
23,SemiDwell,frustration,1
23,SemiDwell,satisfaction,1
23,SemiSwipe,sus,1
23,SemiSwipe,mental,5
23,SemiSwipe,physical,5
23,SemiSwipe,temporal,5
23,SemiSwipe,performance,5
23,SemiSwipe,effort,3
23,SemiSwipe,frustration,0
23,SemiSwipe,satisfaction,0
23,SemiTilt,sus,1
23,SemiTilt,mental,3
23,SemiTilt,physical,1
23,SemiTilt,temporal,4
23,SemiTilt,performance,3
23,SemiTilt,effort,4
23,SemiTilt,frustration,1
23,SemiTilt,satisfaction,4
24,FullDH,sus,4
24,FullDH,mental,0
24,FullDH,physical,4
24,FullDH,temporal,1
24,FullDH,performance,6
24,FullDH,effort,3
24,FullDH,frustration,0
24,FullDH,satisfaction,0
24,SemiNDH,sus,2
24,SemiNDH,mental,3
