participant,block,technique,target_number,repetition,tct_ms,n_subselections,n_distractors_subselected,n_targets_missed,n_distractors_final,n_grouped_final,hand_movement_m,hand_rotation_deg
0,2,SemiNDH,6,6,8777.7,7,1,0,1,7,0.2639,137.3
0,2,SemiNDH,2,7,7775.6,2,0,0,0,2,0.2333,193.83
0,2,SemiNDH,4,7,7310.3,5,1,0,0,4,0.6339,187.95
0,2,SemiNDH,6,7,9254.0,6,0,0,1,7,0.0015,229.75
0,2,SemiNDH,2,8,6783.2,2,0,0,0,2,0.5882,160.09
0,2,SemiNDH,4,8,7580.9,4,0,0,0,4,0.6307,15.71
0,2,SemiNDH,6,8,8716.5,6,0,0,1,7,0.4828,129.02
0,2,SemiNDH,2,9,6106.1,2,0,0,0,2,0.249,135.0
0,2,SemiNDH,4,9,7875.5,4,0,0,0,4,0.23,131.94
0,2,SemiNDH,6,9,9034.1,6,0,0,0,6,0.5122,162.98
0,2,SemiNDH,2,10,5470.9,2,0,0,0,2,0.3906,163.09
0,2,SemiNDH,4,10,7195.5,4,0,0,0,4,0.3724,237.74
0,2,SemiNDH,6,10,8630.4,6,0,0,0,6,0.4204,172.01
0,2,SemiNDH,2,11,5758.4,2,0,0,1,3,0.3342,32.33
0,2,SemiNDH,4,11,7917.3,4,0,0,0,4,0.2507,175.1
0,2,SemiNDH,6,11,8012.4,6,0,0,0,6,0.5995,160.19
0,2,SemiNDH,2,12,6801.6,2,0,0,0,2,0.3218,131.3
0,2,SemiNDH,4,12,8128.7,4,0,0,0,4,0.3951,91.92
0,2,SemiNDH,6,12,9389.3,6,0,0,0,6,0.7352,69.77
0,2,SemiNDH,2,13,6052.9,2,0,0,0,2,0.7441,201.25
0,2,SemiNDH,4,13,6891.6,4,0,0,0,4,0.1902,129.19
0,2,SemiNDH,6,13,8725.2,7,1,0,0,6,0.376,113.15
0,2,SemiNDH,2,14,6441.1,2,0,0,0,2,0.3169,173.46
0,2,SemiNDH,4,14,6865.8,4,0,0,0,4,0.5199,224.13
0,2,SemiNDH,6,14,9232.7,6,0,0,0,6,0.3324,191.02
0,3,SemiSwipe,2,0,6664.0,2,0,0,0,2,0.3284,214.55
0,3,SemiSwipe,4,0,7189.7,4,0,0,0,4,0.4052,249.89
0,3,SemiSwipe,6,0,9121.5,6,0,0,0,6,0.5057,246.12
0,3,SemiSwipe,2,1,6416.1,2,0,0,0,2,0.3652,68.28
0,3,SemiSwipe,4,1,8700.9,5,1,0,1,5,0.3598,198.15
0,3,SemiSwipe,6,1,10016.3,6,0,0,0,6,0.3348,51.64
0,3,SemiSwipe,2,2,6370.1,3,1,0,0,2,0.5514,68.99
0,3,SemiSwipe,4,2,8055.5,4,0,0,1,5,0.4709,221.41
0,3,SemiSwipe,6,2,10323.3,6,0,1,0,5,0.3004,175.31
0,3,SemiSwipe,2,3,6984.6,3,1,0,0,2,0.429,73.71
0,3,SemiSwipe,4,3,7419.7,4,0,0,0,4,0.3981,190.0
0,3,SemiSwipe,6,3,9533.7,6,0,0,1,7,0.5901,160.06
0,3,SemiSwipe,2,4,6147.8,2,0,0,0,2,0.6648,93.06
0,3,SemiSwipe,4,4,7689.7,6,2,0,2,6,0.2365,87.4
0,3,SemiSwipe,6,4,9068.8,6,0,0,1,7,0.3959,135.57
0,3,SemiSwipe,2,5,7306.3,2,0,0,0,2,0.4607,128.83
0,3,SemiSwipe,4,5,7062.3,5,1,0,0,4,0.4477,223.98
0,3,SemiSwipe,6,5,9755.2,6,0,0,0,6,0.5611,139.76
0,3,SemiSwipe,2,6,7368.3,2,0,0,0,2,0.2991,176.63
0,3,SemiSwipe,4,6,7086.0,5,1,0,0,4,0.5954,187.62
0,3,SemiSwipe,6,6,10171.1,6,0,0,0,6,0.6882,186.86
0,3,SemiSwipe,2,7,6989.1,3,1,0,0,2,0.1359,89.61
0,3,SemiSwipe,4,7,7807.0,4,0,0,0,4,0.3443,144.4
0,3,SemiSwipe,6,7,10601.9,6,0,0,1,7,0.524,199.67
0,3,SemiSwipe,2,8,5261.1,2,0,0,0,2,0.4306,127.21
0,3,SemiSwipe,4,8,8080.4,4,0,0,0,4,0.3044,115.6
0,3,SemiSwipe,6,8,10337.5,6,0,0,1,7,0.4254,203.24
0,3,SemiSwipe,2,9,6693.4,2,0,0,1,3,0.4663,77.79
0,3,SemiSwipe,4,9,8353.1,4,0,0,0,4,0.6735,198.54
0,3,SemiSwipe,6,9,9342.6,6,0,0,0,6,0.1143,130.28
0,3,SemiSwipe,2,10,7015.2,2,0,0,1,3,0.4755,137.95
0,3,SemiSwipe,4,10,7812.4,4,0,0,0,4,0.374,150.07
0,3,SemiSwipe,6,10,9199.8,6,0,0,0,6,0.6767,220.02
0,3,SemiSwipe,2,11,6664.9,2,0,0,0,2,0.2551,208.23
0,3,SemiSwipe,4,11,8285.6,4,0,0,0,4,0.3786,111.24
0,3,SemiSwipe,6,11,9485.0,6,0,0,1,7,0.5244,133.03
0,3,SemiSwipe,2,12,6138.8,2,0,0,0,2,0.2703,203.4
0,3,SemiSwipe,4,12,8307.2,4,0,0,0,4,0.34,92.84
0,3,SemiSwipe,6,12,9368.8,7,1,0,0,6,0.3824,97.56
0,3,SemiSwipe,2,13,6322.5,2,0,0,0,2,0.3867,59.17
0,3,SemiSwipe,4,13,7713.6,4,0,0,0,4,0.3133,203.98
0,3,SemiSwipe,6,13,9293.6,7,1,0,1,7,0.51,221.9
0,3,SemiSwipe,2,14,5936.0,2,0,0,1,3,0.7081,175.21
0,3,SemiSwipe,4,14,8636.3,4,0,0,0,4,0.4464,201.02
0,3,SemiSwipe,6,14,9900.3,6,0,0,0,6,0.6741,120.53
0,4,SemiDwell,2,0,6568.9,3,1,0,0,2,0.5086,195.22
0,4,SemiDwell,4,0,7338.4,4,0,0,0,4,0.2908,93.33
0,4,SemiDwell,6,0,9091.8,6,0,0,0,6,0.4616,167.17
0,4,SemiDwell,2,1,6783.2,2,0,0,1,3,0.4962,61.48
0,4,SemiDwell,4,1,7500.7,4,0,0,0,4,0.6273,141.79
0,4,SemiDwell,6,1,9955.9,6,0,0,0,6,0.095,143.32
0,4,SemiDwell,2,2,6147.1,2,0,0,0,2,0.564,105.84
0,4,SemiDwell,4,2,7522.5,4,0,0,0,4,0.4302,140.2
0,4,SemiDwell,6,2,9376.2,7,1,0,0,6,0.4877,152.14
0,4,SemiDwell,2,3,7071.9,2,0,0,0,2,0.3927,242.55
0,4,SemiDwell,4,3,9249.1,4,0,0,0,4,0.5801,149.13
0,4,SemiDwell,6,3,9364.1,7,1,0,1,7,0.4522,105.7
0,4,SemiDwell,2,4,6530.2,2,0,0,1,3,0.1837,119.79
0,4,SemiDwell,4,4,8979.3,5,1,1,0,3,0.1602,223.86
0,4,SemiDwell,6,4,9142.8,7,1,0,1,7,0.3677,108.95
0,4,SemiDwell,2,5,6107.6,2,0,0,0,2,0.6391,230.93
0,4,SemiDwell,4,5,7936.6,4,0,0,0,4,0.4057,238.7
0,4,SemiDwell,6,5,8668.1,7,1,0,0,6,0.5399,164.77
0,4,SemiDwell,2,6,6290.2,2,0,0,0,2,0.2499,186.15
0,4,SemiDwell,4,6,8576.2,5,1,0,0,4,0.5555,161.26
0,4,SemiDwell,6,6,9918.6,7,1,1,0,5,0.4451,204.87
0,4,SemiDwell,2,7,5747.4,2,0,0,0,2,0.1994,148.67
0,4,SemiDwell,4,7,7395.3,4,0,0,0,4,0.3659,120.9
0,4,SemiDwell,6,7,9371.8,6,0,0,0,6,0.4399,117.73
0,4,SemiDwell,2,8,6923.8,3,1,0,1,3,0.1471,112.92
0,4,SemiDwell,4,8,7950.4,4,0,0,0,4,0.3963,228.15
0,4,SemiDwell,6,8,8626.8,7,1,1,1,6,0.3494,184.47
0,4,SemiDwell,2,9,6447.2,2,0,0,0,2,0.5293,176.48
0,4,SemiDwell,4,9,7674.1,4,0,0,0,4,0.4892,234.29
0,4,SemiDwell,6,9,8604.9,6,0,0,1,7,0.4059,51.1
0,4,SemiDwell,2,10,5795.3,2,0,0,1,3,0.5288,168.31
0,4,SemiDwell,4,10,9110.4,4,0,0,0,4,0.5525,143.74
0,4,SemiDwell,6,10,9690.3,6,0,0,0,6,0.3137,87.57
0,4,SemiDwell,2,11,6758.6,2,0,0,1,3,0.3397,268.05
0,4,SemiDwell,4,11,7930.3,4,0,0,0,4,0.1672,20.94
0,4,SemiDwell,6,11,9461.2,6,0,0,0,6,0.2359,264.39
0,4,SemiDwell,2,12,6696.7,2,0,0,1,3,0.4247,38.49
0,4,SemiDwell,4,12,8757.6,4,0,0,1,5,0.4489,140.31
0,4,SemiDwell,6,12,8174.0,6,0,0,0,6,0.6189,270.25
0,4,SemiDwell,2,13,6537.0,2,0,0,0,2,0.4366,107.03
0,4,SemiDwell,4,13,7182.3,4,0,0,0,4,0.6068,138.79
0,4,SemiDwell,6,13,9067.5,6,0,0,0,6,0.2125,95.91
0,4,SemiDwell,2,14,7048.0,2,0,0,0,2,0.3221,95.46
0,4,SemiDwell,4,14,6968.5,4,0,1,0,3,0.4181,174.97
0,4,SemiDwell,6,14,10356.5,6,0,0,0,6,0.3598,252.83
1,0,SemiNDH,2,0,8267.0,2,0,0,0,2,0.3994,158.63
1,0,SemiNDH,4,0,9344.7,4,0,0,0,4,0.3555,59.01
1,0,SemiNDH,6,0,11610.3,7,1,1,1,6,0.1252,122.04
1,0,SemiNDH,2,1,7580.9,2,0,0,0,2,0.5477,228.65
1,0,SemiNDH,4,1,9444.2,4,0,0,0,4,0.339,227.9
1,0,SemiNDH,6,1,9653.3,7,1,0,1,7,0.6007,177.91
1,0,SemiNDH,2,2,8587.4,2,0,0,1,3,0.2476,77.58
1,0,SemiNDH,4,2,9935.9,4,0,0,1,5,0.4417,298.72
1,0,SemiNDH,6,2,11300.6,6,0,0,0,6,0.2034,190.9
1,0,SemiNDH,2,3,7018.3,2,0,0,1,3,0.3255,159.6
1,0,SemiNDH,4,3,9686.1,4,0,0,0,4,0.3352,84.89
1,0,SemiNDH,6,3,11561.2,6,0,0,0,6,0.4121,221.44
1,0,SemiNDH,2,4,8231.1,2,0,0,0,2,0.5435,60.21
1,0,SemiNDH,4,4,8993.0,4,0,0,0,4,0.5138,65.53
1,0,SemiNDH,6,4,11541.5,6,0,1,0,5,0.5042,104.81
1,0,SemiNDH,2,5,7611.2,2,0,0,1,3,0.6445,128.41
1,0,SemiNDH,4,5,10644.6,4,0,0,1,5,0.4776,60.61
1,0,SemiNDH,6,5,11696.4,7,1,0,0,6,0.49,156.01
1,0,SemiNDH,2,6,8975.4,2,0,0,0,2,0.3069,180.28
1,0,SemiNDH,4,6,9823.9,5,1,0,1,5,0.5159,10.55
1,0,SemiNDH,6,6,10047.4,7,1,0,0,6,0.3699,84.13
1,0,SemiNDH,2,7,7971.5,2,0,0,1,3,0.4106,198.49
1,0,SemiNDH,4,7,9273.1,4,0,0,1,5,0.5204,139.43
1,0,SemiNDH,6,7,11981.2,6,0,0,1,7,0.473,127.1
1,0,SemiNDH,2,8,9579.4,2,0,0,0,2,0.4845,180.66
1,0,SemiNDH,4,8,10429.7,4,0,0,0,4,0.3141,218.15
1,0,SemiNDH,6,8,11342.9,6,0,0,0,6,0.303,176.89
1,0,SemiNDH,2,9,6886.3,2,0,0,0,2,0.2705,234.35
1,0,SemiNDH,4,9,10770.5,4,0,0,0,4,0.3769,118.68
1,0,SemiNDH,6,9,11469.5,7,1,0,0,6,0.5585,149.49
1,0,SemiNDH,2,10,8320.2,2,0,1,0,1,0.4842,171.53
1,0,SemiNDH,4,10,9154.8,4,0,0,0,4,0.5545,64.07
1,0,SemiNDH,6,10,11673.9,9,3,0,1,7,0.4492,47.28
1,0,SemiNDH,2,11,8607.4,2,0,0,0,2,0.13,210.93
1,0,SemiNDH,4,11,10072.4,5,1,1,0,3,0.3531,171.8
1,0,SemiNDH,6,11,12051.9,7,1,0,0,6,0.3869,152.98
1,0,SemiNDH,2,12,7938.0,2,0,0,0,2,0.4709,57.55
1,0,SemiNDH,4,12,10016.7,5,1,0,0,4,0.2163,155.94
1,0,SemiNDH,6,12,11726.7,6,0,0,0,6,0.3296,215.92
1,0,SemiNDH,2,13,8925.6,2,0,1,0,1,0.793,133.54
1,0,SemiNDH,4,13,9728.9,4,0,0,0,4,0.345,139.49
1,0,SemiNDH,6,13,11579.9,6,0,0,0,6,0.4974,107.28
1,0,SemiNDH,2,14,8217.4,2,0,0,0,2,0.5849,288.58
1,0,SemiNDH,4,14,9209.0,4,0,0,0,4,0.4439,218.37
1,0,SemiNDH,6,14,10921.4,6,0,0,0,6,0.3488,176.27
1,1,FullDH,2,0,8541.0,2,0,0,0,2,0.4228,210.44
1,1,FullDH,4,0,9054.7,4,0,1,1,4,0.2333,266.38
1,1,FullDH,6,0,9840.7,6,0,0,1,7,0.5593,96.76
1,1,FullDH,2,1,7768.5,2,0,0,0,2,0.6179,156.78
1,1,FullDH,4,1,8168.7,4,0,0,1,5,0.2702,80.93
1,1,FullDH,6,1,10313.9,6,0,0,1,7,0.2654,180.48
1,1,FullDH,2,2,7398.3,2,0,0,0,2,0.692,109.55
1,1,FullDH,4,2,9697.3,4,0,0,0,4,0.4686,168.37
1,1,FullDH,6,2,12318.3,6,0,0,0,6,0.2943,122.78
1,1,FullDH,2,3,8041.5,2,0,1,0,1,0.1545,122.26
1,1,FullDH,4,3,8741.6,4,0,1,0,3,0.5402,79.8
1,1,FullDH,6,3,10210.9,7,1,0,0,6,0.6438,237.58
1,1,FullDH,2,4,6618.4,2,0,0,0,2,0.4841,142.33
1,1,FullDH,4,4,10128.0,5,1,0,0,4,0.3432,146.07
1,1,FullDH,6,4,10901.1,6,0,1,0,5,0.3956,245.46
1,1,FullDH,2,5,7310.8,2,0,0,0,2,0.3197,92.35
1,1,FullDH,4,5,9200.4,4,0,0,0,4,0.3835,165.61
1,1,FullDH,6,5,11215.0,6,0,1,1,6,0.2168,135.14
1,1,FullDH,2,6,7496.8,2,0,0,1,3,0.462,223.04
1,1,FullDH,4,6,8751.0,5,1,0,0,4,0.3724,145.87
1,1,FullDH,6,6,10395.6,6,0,0,0,6,0.2683,60.05
1,1,FullDH,2,7,7296.8,2,0,0,0,2,0.6015,70.05
1,1,FullDH,4,7,8947.7,4,0,0,1,5,0.2569,127.66
1,1,FullDH,6,7,10684.6,6,0,0,0,6,0.522,194.13
1,1,FullDH,2,8,8160.6,2,0,0,1,3,0.2414,184.84
1,1,FullDH,4,8,10577.5,4,0,0,0,4,0.3606,107.84
1,1,FullDH,6,8,12032.0,6,0,0,0,6,0.4294,208.72
1,1,FullDH,2,9,8026.9,2,0,0,0,2,0.4333,191.69
1,1,FullDH,4,9,10095.3,4,0,0,0,4,0.2886,70.74
1,1,FullDH,6,9,10774.3,6,0,0,0,6,0.5292,273.24
1,1,FullDH,2,10,8291.2,2,0,0,1,3,0.5589,114.88
1,1,FullDH,4,10,8502.9,4,0,0,0,4,0.0241,201.63
1,1,FullDH,6,10,10501.6,6,0,0,1,7,0.2613,98.45
1,1,FullDH,2,11,7704.0,2,0,0,1,3,0.6907,169.98
1,1,FullDH,4,11,9505.3,4,0,0,1,5,0.4572,98.01
1,1,FullDH,6,11,9524.9,6,0,0,0,6,0.55,98.97
1,1,FullDH,2,12,7999.5,2,0,0,0,2,0.5024,175.26
1,1,FullDH,4,12,8979.4,5,1,1,0,3,0.2798,186.02
1,1,FullDH,6,12,10535.7,6,0,0,0,6,0.4383,257.41
1,1,FullDH,2,13,8256.8,2,0,0,0,2,0.5737,193.0
1,1,FullDH,4,13,9782.8,4,0,0,0,4,0.3542,208.16
1,1,FullDH,6,13,11002.0,6,0,0,0,6,0.3756,197.88
1,1,FullDH,2,14,7654.0,2,0,0,0,2,0.5355,150.61
1,1,FullDH,4,14,8846.3,5,1,0,0,4,0.5237,200.51
1,1,FullDH,6,14,10706.9,7,1,0,1,7,0.2928,88.42
1,2,SemiDwell,2,0,8372.7,2,0,0,1,3,0.295,120.74
1,2,SemiDwell,4,0,10337.3,4,0,0,0,4,0.4514,142.72
1,2,SemiDwell,6,0,11660.2,6,0,0,0,6,0.2764,127.38
1,2,SemiDwell,2,1,8307.4,2,0,0,0,2,0.23,214.98
1,2,SemiDwell,4,1,10001.8,4,0,0,0,4,0.6094,141.11
1,2,SemiDwell,6,1,11969.1,7,1,0,1,7,0.3684,218.16
1,2,SemiDwell,2,2,7929.5,2,0,0,0,2,0.577,121.42
1,2,SemiDwell,4,2,9558.8,4,0,1,1,4,0.4866,94.55
1,2,SemiDwell,6,2,12718.8,6,0,1,0,5,0.4426,184.25
1,2,SemiDwell,2,3,9213.4,2,0,0,0,2,0.4178,264.54
1,2,SemiDwell,4,3,9550.8,5,1,0,0,4,0.649,131.42
1,2,SemiDwell,6,3,11385.2,7,1,1,1,6,0.18,188.25
1,2,SemiDwell,2,4,8152.2,2,0,0,0,2,0.4851,222.9
1,2,SemiDwell,4,4,9508.4,4,0,0,1,5,0.1981,170.98
1,2,SemiDwell,6,4,11321.8,6,0,1,1,6,0.366,96.89
1,2,SemiDwell,2,5,8673.9,2,0,0,1,3,0.6144,149.54
1,2,SemiDwell,4,5,10315.5,4,0,0,1,5,0.4877,135.83
1,2,SemiDwell,6,5,10700.7,7,1,0,0,6,0.3921,74.75
1,2,SemiDwell,2,6,8672.9,2,0,0,0,2,0.5826,102.92
1,2,SemiDwell,4,6,10523.8,4,0,0,0,4,0.1323,127.64
1,2,SemiDwell,6,6,11076.7,6,0,1,1,6,0.4448,156.6
1,2,SemiDwell,2,7,8042.8,2,0,0,0,2,0.6452,96.38
1,2,SemiDwell,4,7,9760.3,4,0,1,0,3,0.4131,137.72
1,2,SemiDwell,6,7,11279.9,6,0,0,0,6,0.261,98.69
1,2,SemiDwell,2,8,8715.2,2,0,0,1,3,0.5001,162.77
1,2,SemiDwell,4,8,10307.3,4,0,0,0,4,0.4819,183.58
1,2,SemiDwell,6,8,11727.5,6,0,0,1,7,0.2043,163.53
1,2,SemiDwell,2,9,8849.7,2,0,0,1,3,0.2905,119.42
1,2,SemiDwell,4,9,9139.8,4,0,0,0,4,0.5897,188.86
1,2,SemiDwell,6,9,10612.3,6,0,0,1,7,0.3733,206.45
1,2,SemiDwell,2,10,9183.9,2,0,0,0,2,0.5874,270.41
1,2,SemiDwell,4,10,10718.3,4,0,0,0,4,0.5428,147.93
1,2,SemiDwell,6,10,10114.1,7,1,0,0,6,0.5183,125.09
1,2,SemiDwell,2,11,8416.3,3,1,1,1,2,0.3388,252.54
1,2,SemiDwell,4,11,9395.8,5,1,0,0,4,0.4437,41.1
1,2,SemiDwell,6,11,10972.3,6,0,1,0,5,0.2633,79.03
1,2,SemiDwell,2,12,8696.0,2,0,0,0,2,0.5095,151.4
1,2,SemiDwell,4,12,10732.4,5,1,0,0,4,0.2509,93.88
1,2,SemiDwell,6,12,11110.5,7,1,0,0,6,0.1707,253.63
1,2,SemiDwell,2,13,8264.7,2,0,1,0,1,0.555,95.39
1,2,SemiDwell,4,13,10214.1,4,0,0,0,4,0.2033,235.64
1,2,SemiDwell,6,13,10883.9,6,0,0,1,7,0.4838,72.76
1,2,SemiDwell,2,14,7937.8,2,0,0,1,3,0.2625,155.09
1,2,SemiDwell,4,14,10394.3,4,0,1,0,3,0.3017,169.29
